Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,TDP CATEGORY,year,'Transistor Density (million per mm^2)',FP16 GFLOPS per W,FP32 GFLOPS per W,FP64 GFLOPS per W
0,AMD Athlon 64 3500+,CPU,2007-02-20,65.0,45.0,77.0,122.0,2200.0,Unknown,AMD,0.0,0.0,0.0,medium <100,2007.0,1.5844155844155845,0.0,0.0,0.0
1,AMD Athlon 200GE,CPU,2018-09-06,14.0,35.0,192.0,4800.0,3200.0,Unknown,AMD,0.0,0.0,0.0,medium <100,2018.0,25.0,0.0,0.0,0.0
2,Intel Core i5-1145G7,CPU,2020-09-02,10.0,28.0,148.0,624.0,2600.0,Intel,Intel,0.0,0.0,0.0,low<30,2020.0,4.216216216216216,0.0,0.0,0.0
3,Intel Xeon E5-2603 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,1800.0,Intel,Intel,0.0,0.0,0.0,medium <100,2013.0,8.75,0.0,0.0,0.0
4,AMD Phenom II X4 980 BE,CPU,2011-05-03,45.0,125.0,258.0,758.0,3700.0,Unknown,AMD,0.0,0.0,0.0,high <200,2011.0,2.937984496124031,0.0,0.0,0.0
5,Intel Xeon E5-2470 v2,CPU,2013-09-01,22.0,95.0,160.0,1400.0,2400.0,Intel,Intel,0.0,0.0,0.0,medium <100,2013.0,8.75,0.0,0.0,0.0
6,AMD Phenom X4 9750 (125W),CPU,2008-03-27,65.0,125.0,285.0,450.0,2400.0,Unknown,AMD,0.0,0.0,0.0,high <200,2008.0,1.5789473684210527,0.0,0.0,0.0
7,Intel Pentium D 930,CPU,2006-01-16,65.0,130.0,140.0,376.0,3000.0,Intel,Intel,0.0,0.0,0.0,high <200,2006.0,2.6857142857142855,0.0,0.0,0.0
8,Intel Core i3-1125G4,CPU,2020-09-02,10.0,28.0,148.0,624.0,2000.0,Intel,Intel,0.0,0.0,0.0,low<30,2020.0,4.216216216216216,0.0,0.0,0.0
9,AMD Athlon 64 X2 4200+,CPU,2006-05-23,90.0,89.0,156.0,154.0,2200.0,Unknown,AMD,0.0,0.0,0.0,medium <100,2006.0,0.9871794871794872,0.0,0.0,0.0
10,AMD Sempron 2800+,CPU,2004-08-01,130.0,62.0,80.0,37.0,1992.0,Unknown,AMD,0.0,0.0,0.0,medium <100,2004.0,0.4625,0.0,0.0,0.0
11,Intel Core i7-3632QM,CPU,2012-10-19,22.0,35.0,160.0,1480.0,2200.0,Intel,Intel,0.0,0.0,0.0,medium <100,2012.0,9.25,0.0,0.0,0.0
12,AMD C-70,CPU,2012-09-01,40.0,9.0,75.0,624.0,1000.0,Unknown,AMD,0.0,0.0,0.0,low<30,2012.0,8.32,0.0,0.0,0.0
13,Intel Core i5-8269U,CPU,2018-04-05,14.0,28.0,123.0,624.0,2600.0,Intel,Intel,0.0,0.0,0.0,low<30,2018.0,5.073170731707317,0.0,0.0,0.0
14,AMD Phenom X4 9600 BE,CPU,2007-12-19,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD,0.0,0.0,0.0,medium <100,2007.0,1.5789473684210527,0.0,0.0,0.0
15,Intel Pentium 3560Y,CPU,2013-09-01,22.0,12.0,118.0,1400.0,1200.0,Intel,Intel,0.0,0.0,0.0,low<30,2013.0,11.864406779661017,0.0,0.0,0.0
16,AMD Turion X2 Ultra ZM-84,CPU,2008-09-01,65.0,35.0,148.0,624.0,2300.0,Unknown,AMD,0.0,0.0,0.0,medium <100,2008.0,4.216216216216216,0.0,0.0,0.0
17,Intel Pentium 4 506,CPU,2005-06-01,90.0,84.0,109.0,125.0,2660.0,Intel,Intel,0.0,0.0,0.0,medium <100,2005.0,1.146788990825688,0.0,0.0,0.0
18,Intel Xeon E5-2430 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,2500.0,Intel,Intel,0.0,0.0,0.0,medium <100,2013.0,8.75,0.0,0.0,0.0
19,AMD Athlon 64 X2 4800+,CPU,2006-05-23,90.0,110.0,199.0,233.0,2400.0,Unknown,AMD,0.0,0.0,0.0,high <200,2006.0,1.170854271356784,0.0,0.0,0.0
20,Intel Core i5-3427U,CPU,2012-06-01,22.0,17.0,118.0,624.0,1800.0,Intel,Intel,0.0,0.0,0.0,low<30,2012.0,5.288135593220339,0.0,0.0,0.0
21,AMD Opteron 148 HE,CPU,2004-12-01,90.0,55.0,148.0,106.0,2200.0,Unknown,AMD,0.0,0.0,0.0,medium <100,2004.0,0.7162162162162162,0.0,0.0,0.0
22,AMD Athlon 1100,CPU,2000-08-14,180.0,60.0,120.0,37.0,1100.0,Unknown,AMD,0.0,0.0,0.0,medium <100,2000.0,0.30833333333333335,0.0,0.0,0.0
23,Intel Core i7-975,CPU,2009-06-02,45.0,130.0,263.0,731.0,3333.0,Intel,Intel,0.0,0.0,0.0,high <200,2009.0,2.779467680608365,0.0,0.0,0.0
24,AMD Athlon 64 3500+,CPU,2001-01-01,90.0,67.0,115.0,105.0,2200.0,Unknown,AMD,0.0,0.0,0.0,medium <100,2001.0,0.9130434782608695,0.0,0.0,0.0
25,Intel Pentium 4 HT 672,CPU,2005-11-14,90.0,84.0,109.0,169.0,3800.0,Intel,Intel,0.0,0.0,0.0,medium <100,2005.0,1.5504587155963303,0.0,0.0,0.0
26,Intel Pentium D 830,CPU,2005-05-26,90.0,130.0,206.0,169.0,3000.0,Intel,Intel,0.0,0.0,0.0,high <200,2005.0,0.8203883495145631,0.0,0.0,0.0
27,AMD EPYC 7371,CPU,2018-11-16,14.0,170.0,213.0,4800.0,3100.0,GF,AMD,0.0,0.0,0.0,high <200,2018.0,22.535211267605632,0.0,0.0,0.0
28,Intel Pentium 4 HT 550,CPU,2004-06-21,90.0,115.0,109.0,125.0,3400.0,Intel,Intel,0.0,0.0,0.0,high <200,2004.0,1.146788990825688,0.0,0.0,0.0
29,Intel Pentium III 1266S,CPU,2001-07-01,130.0,30.0,80.0,44.0,1266.0,Intel,Intel,0.0,0.0,0.0,low<30,2001.0,0.55,0.0,0.0,0.0
30,AMD Sempron 140,CPU,2009-07-22,45.0,45.0,117.0,234.0,2700.0,Unknown,AMD,0.0,0.0,0.0,medium <100,2009.0,2.0,0.0,0.0,0.0
31,AMD EPYC 7501,CPU,2017-06-29,14.0,170.0,213.0,4800.0,2000.0,GF,AMD,0.0,0.0,0.0,high <200,2017.0,22.535211267605632,0.0,0.0,0.0
32,Intel Atom E680,CPU,2010-09-14,45.0,4.0,26.0,47.0,1600.0,Intel,Intel,0.0,0.0,0.0,low<30,2010.0,1.8076923076923077,0.0,0.0,0.0
33,Intel Xeon E5-2690 v2,CPU,2013-09-01,22.0,130.0,160.0,1400.0,3000.0,Intel,Intel,0.0,0.0,0.0,high <200,2013.0,8.75,0.0,0.0,0.0
34,Intel Xeon Platinum 8380,CPU,2021-04-06,10.0,270.0,148.0,624.0,2300.0,Intel,Intel,0.0,0.0,0.0,,2021.0,4.216216216216216,0.0,0.0,0.0
35,Intel Xeon Phi 7120A,CPU,2014-04-06,22.0,300.0,350.0,5000.0,1238.0,Intel,Intel,0.0,0.0,0.0,,2014.0,14.285714285714286,0.0,0.0,0.0
36,Intel Core i3-8020,CPU,2018-09-01,14.0,65.0,148.0,624.0,3700.0,Intel,Intel,0.0,0.0,0.0,medium <100,2018.0,4.216216216216216,0.0,0.0,0.0
37,Intel Atom S1220,CPU,2012-12-11,32.0,8.0,148.0,624.0,1600.0,Intel,Intel,0.0,0.0,0.0,low<30,2012.0,4.216216216216216,0.0,0.0,0.0
38,AMD Phenom X4 9600,CPU,2007-11-19,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD,0.0,0.0,0.0,medium <100,2007.0,1.5789473684210527,0.0,0.0,0.0
39,Intel Core i3-2330M,CPU,2011-06-01,32.0,35.0,149.0,624.0,2200.0,Intel,Intel,0.0,0.0,0.0,medium <100,2011.0,4.1879194630872485,0.0,0.0,0.0
40,AMD Opteron X2 180,CPU,2005-09-26,90.0,110.0,148.0,233.0,2400.0,Unknown,AMD,0.0,0.0,0.0,high <200,2005.0,1.5743243243243243,0.0,0.0,0.0
41,AMD E2-3200,CPU,2011-09-07,32.0,65.0,228.0,1178.0,2400.0,Unknown,AMD,0.0,0.0,0.0,medium <100,2011.0,5.166666666666667,0.0,0.0,0.0
42,AMD Turion 64 MT-34,CPU,2005-03-10,90.0,25.0,125.0,114.0,1800.0,Unknown,AMD,0.0,0.0,0.0,low<30,2005.0,0.912,0.0,0.0,0.0
43,Intel Pentium III  866,CPU,2001-06-01,180.0,38.0,80.0,44.0,866.0,Intel,Intel,0.0,0.0,0.0,medium <100,2001.0,0.55,0.0,0.0,0.0
44,Intel Core 2 Quad Q9550S,CPU,2009-01-27,45.0,65.0,107.0,820.0,2833.0,Intel,Intel,0.0,0.0,0.0,medium <100,2009.0,7.663551401869159,0.0,0.0,0.0
45,Intel Core i7-4500U,CPU,2013-06-04,22.0,15.0,118.0,1300.0,1800.0,Intel,Intel,0.0,0.0,0.0,low<30,2013.0,11.016949152542374,0.0,0.0,0.0
