Unnamed: 0,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,TDP CATEGORY,year,'Transistor Density (million per mm^2)',FP16 GFLOPS per W,FP32 GFLOPS per W,FP64 GFLOPS per W,Log Transistors (million),Log FP16 GFLOPS,Log FP32 GFLOPS,Log FP64 GFLOPS
0,AMD Athlon 64 3500+,CPU,2007-02-20,65.0,-0.4748766913624311,-0.901107985897033,122.0,0.6595017837931896,Unknown,AMD,0.0,0.0,0.0,medium <100,2007.0,1.5844155844155845,0.0,0.0,0.0,-1.032383685581819,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
1,AMD Athlon 200GE,CPU,2018-09-06,14.0,-0.6160924260859378,0.0908766475119908,4800.0,1.5952761026469366,Unknown,AMD,0.0,0.0,0.0,medium <100,2018.0,25.0,0.0,0.0,0.0,1.4273670453271825,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
2,Intel Core i5-1145G7,CPU,2020-09-02,10.0,-0.7149434403923925,-0.2886652991836356,624.0,1.0338115113346884,Intel,Intel,0.0,0.0,0.0,low<30,2020.0,4.216216216216216,0.0,0.0,0.0,0.0587896659076023,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
3,Intel Xeon E5-2603 v2,CPU,2013-09-01,22.0,0.0193783801698421,-0.1851538591757375,1400.0,0.2851920562516908,Intel,Intel,0.0,0.0,0.0,medium <100,2013.0,8.75,0.0,0.0,0.0,0.6006214976723376,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
4,AMD Phenom II X4 980 BE,CPU,2011-05-03,45.0,0.6548491864256222,0.6601895675554307,758.0,2.06316326207381,Unknown,AMD,0.0,0.0,0.0,high <200,2011.0,2.937984496124031,0.0,0.0,0.0,0.1891814150280841,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
5,Intel Xeon E5-2470 v2,CPU,2013-09-01,22.0,0.2312019822551021,-0.1851538591757375,1400.0,0.8466566475639391,Intel,Intel,0.0,0.0,0.0,medium <100,2013.0,8.75,0.0,0.0,0.0,0.6006214976723376,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
6,AMD Phenom X4 9750 (125W),CPU,2008-03-27,65.0,0.6548491864256222,0.8930903075732015,450.0,0.8466566475639391,Unknown,AMD,0.0,0.0,0.0,high <200,2008.0,1.5789473684210529,0.0,0.0,0.0,-0.1602309465090898,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
7,Intel Pentium D 930,CPU,2006-01-16,65.0,0.7254570537873755,-0.3576729258555677,376.0,1.4081212388761872,Intel,Intel,0.0,0.0,0.0,high <200,2006.0,2.685714285714285,0.0,0.0,0.0,-0.2805350624916606,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
8,Intel Core i3-1125G4,CPU,2020-09-02,10.0,-0.7149434403923925,-0.2886652991836356,624.0,0.4723469200224402,Intel,Intel,0.0,0.0,0.0,low<30,2020.0,4.216216216216216,0.0,0.0,0.0,0.0587896659076023,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
9,AMD Athlon 64 X2 4200+,CPU,2006-05-23,90.0,0.1464725414209981,-0.2196576725117035,154.0,0.6595017837931896,Unknown,AMD,0.0,0.0,0.0,medium <100,2006.0,0.9871794871794872,0.0,0.0,0.0,-0.8771617162097396,-0.3351558160293431,-0.7751792233368019,-0.5700492493931122
